threshold,precision,recall,f1,flagged_comments
0.2,0.7291042744350668,0.8255240443896424,0.7743241289576406,3673
0.3,0.8281143635125936,0.75,0.7871239081203494,2938
0.4,0.8874751491053678,0.688039457459926,0.7751345719743011,2515
0.5,0.9275753486279802,0.6356350184956844,0.7543442473019938,2223
0.6,0.9510703363914373,0.5752157829839704,0.7168651555897042,1962
0.7,0.9696275071633238,0.5215782983970407,0.6782922429344558,1745
0.8,0.9827471798274718,0.4565351418002466,0.6234476952220586,1507
0.9,0.9933993399339934,0.3711467324290999,0.5403949730700179,1212
